Frenchmauve,#D473D4
Frenchpink,#FD6C9E
Frenchplum,#811453
Frenchpuce,#4E1609
Frenchraspberry,#C72C48
Frenchrose,#F64A8A
Frenchskyblue,#77B5FE
Frenchviolet,#8806CE
Frenchwine,#AC1E44
FreshAir,#A6E7FF
Fuchsia,#FF00FF
Fuchsia(Crayola),#C154C1
Fuchsiapink,#FF77FF
Fuchsiapurple,#CC397B
Fuchsiarose,#C74375
Fulvous,#E48400
FuzzyWuzzy,#CC6666
